ISO code,Country,Variable code,Variable name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
EGY,Egypt,ccon,"Real consumption of households and government, at current PPPs (in mil. 2017US$)",13379.9638671875,14171.7001953125,13048.82421875,12529.6220703125,13749.5146484375,14600.802734375,14991.0927734375,15915.04296875,15753.28125,17110.9375,18180.04296875,19646.21484375,21177.4375,23023.490234375,25626.775390625,27070.6875,27337.796875,29819.34765625,32388.642578125,35066.78515625,40128.27734375,41292.54296875,44204.8203125,44499.21484375,48287.234375,53128.8671875,56728.40234375,56863.0390625,58639.73828125,59388.92578125,62294.421875,69312.6015625,69549.6953125,80091.484375,93593.5859375,99904.0390625,99258.6640625,102647.0234375,108342.1796875,117957.0078125,131797.265625,144682.984375,160086.28125,179388.328125,204767.890625,240237.609375,287254.28125,294983.1875,301045.65625,313779.9375,320301.875,331818.8125,339070.59375,347005.09375,356174.9375,379768.59375,421772.28125,486305.75,557051.9375,656195.3125,735106.8125,832028.4375,1004883,1002606.75,1028988.75,1067423.25,1037687.9375,1038467.875,1063634.25,1076649.875
EGY,Egypt,cda,"Real domestic absorption, (real consumption plus investment), at current PPPs (in mil. 2017US$)",13681.03515625,14510.498046875,13445.306640625,12992.5615234375,14236.564453125,15109.4208984375,15412.0634765625,16370.0478515625,16248.6796875,17719.12890625,18776.74609375,20328.751953125,21945.916015625,23965.818359375,26664.541015625,28269.7109375,28352.908203125,30715.013671875,33228.58203125,36121.4140625,41296.390625,42328.4765625,45178.25390625,45786.29296875,50250.2109375,55491.21484375,60459.390625,60479.62109375,62626.1484375,64317.015625,68145.2421875,75624.7890625,76705.0390625,86828.2265625,99981.8046875,106259.5703125,105785.9609375,109433.671875,116204.9375,127125.109375,141712.9375,155753.46875,172111.140625,194991.953125,224903.625,264501.90625,318304.0625,329687.46875,343048.875,358702.75,369476.59375,380359.3125,391833.09375,398424.34375,410321.15625,440929.1875,491708.3125,571747.125,660526,752555.5,842245.9375,932550.1875,1110805.5,1093916.75,1109496,1157645.5,1130195.875,1128027.5,1166264.5,1191591.75
EGY,Egypt,cgdpe,Expenditure-side real GDP at current PPPs (in mil. 2017US$),14012.427734375,14550.541015625,13472.1201171875,13538.3974609375,14367.7470703125,15008.861328125,15460.484375,16113.4560546875,16352.642578125,18020.65234375,18857.181640625,19916.5703125,21056.982421875,22818.173828125,25811.46484375,26947.97265625,28058.404296875,29269.9921875,32496.236328125,34973.4921875,39654.91015625,40483.49609375,43162.00390625,43350.4453125,48014.5859375,50026.67578125,51421.05859375,54608.73046875,57049.03515625,56417.171875,58527.96484375,67535.421875,68131.3125,78260.671875,88119.765625,94769.4921875,96289.09375,99364.828125,98462.6796875,110097.3671875,124443.5078125,144134.53125,159701.140625,187038.015625,213207.671875,251554.265625,303414.9375,315583.15625,316383.5,334144.3125,349713.4375,367376.875,378528.5,394343.3125,412447.40625,434075.71875,477622.25,546713,625460.3125,705590.0625,800276.1875,895599.3125,1029295.1875,1028737.4375,1023232.375,1067188.625,1031618.3125,1005485.75,1055879.375,1100661.125
EGY,Egypt,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),13537.2529296875,13968.68359375,13544.6796875,13643.2138671875,14158.6416015625,14621.5634765625,15073.0947265625,15658.505859375,16137.1328125,17565.482421875,18414.103515625,19572.095703125,20811.578125,22533.130859375,25480.23046875,26453.80859375,27517.609375,28640.3125,31774.541015625,34313.62890625,39605.83984375,40696.06640625,43400.15234375,43460.58984375,45065.4765625,50259.65625,52021.7109375,55069.08203125,58616.16796875,58803.97265625,60951.06640625,71317.96875,73001,84129.484375,93089.6328125,96670.6953125,100166.9453125,102289.671875,101005.1875,112342.046875,130443.84375,152452.5625,169108.046875,196588.28125,225211.59375,269681.46875,326085.96875,334295.8125,338435.125,355102.15625,364625.96875,383772.375,396250.625,411482.78125,431321.25,461372.25,497283.75,574791.8125,691867.875,749497.9375,858849.8125,971614,1120482,1117041,1110123.5,1162537.25,1140696.75,1158246,1209516,1212398.375
EGY,Egypt,ck,Capital services levels at current PPPs (USA=1),,,,,0.0004261274298187,0.0004331755044404,0.0004251154023222,0.000421336677391,0.000418585492298,0.0004182294069323,0.0004144679696764,0.0004203032003715,0.0004283818416297,0.0004455094749573,0.0004536882042884,0.0004745876067318,0.0004743929312098,0.000469776103273,0.000458924943814,0.0004614427161868,0.0004665611195378,0.0004790388338733,0.0004946557455696,0.0005228635855019,0.0005565626197494,0.0006225398392416,0.0007431737612932,0.0008475350332446,0.0009520198800601,0.0011215253034606,0.0013066212413832,0.0015028237830847,0.0017589813796803,0.0019648596644401,0.0020415335893631,0.0020837883930653,0.0021262180525809,0.0023069020826369,0.0025449760723859,0.0028213826008141,0.0032150424085557,0.0036548620555549,0.0041104420088231,0.0047674351371824,0.0055872974917292,0.0063586956821382,0.0068456432782113,0.0070554749108851,0.0074032200500369,0.0076460959389805,0.007755160331726,0.0079944627359509,0.008567783050239,0.0090476190671324,0.0093833338469266,0.01021649222821,0.011122802272439,0.0122706107795239,0.0141990603879094,0.0163895878940821,0.0189124327152967,0.0204889699816704,0.0204244013875723,0.0197706148028374,0.0178768485784531,0.0194752849638462,0.0193189661949873,0.0179919600486755,0.0185016915202141,0.0191034059971571
EGY,Egypt,cn,Capital stock at current PPPs (in mil. 2017US$),4735.25927734375,4872.931640625,5059.63818359375,5288.80029296875,5522.77294921875,5771.29150390625,5899.80126953125,6039.39306640625,6206.37255859375,6467.98876953125,6668.3779296875,6992.708984375,7411.43115234375,7976.96630859375,8585.9892578125,9315.7939453125,9779.734375,10131.873046875,10410.3779296875,10902.4384765625,11458.68359375,11846.7275390625,12222.9521484375,12889.4501953125,13673.193359375,14705.498046875,16921.3125,18869.58984375,20918.626953125,24349.75390625,28795.369140625,33289.5703125,39027.828125,43880.68359375,48297.96484375,52537.95703125,57044.296875,65659.8046875,75825.5078125,89575.7421875,106791.1171875,126450.0625,149600.390625,180072.359375,218327.640625,258689.15625,292905.78125,319293.09375,350059.59375,379228.71875,410781.46875,443684.8125,482009.03125,519580.96875,562099.625,615195,687778.125,793657.9375,932307.6875,1069812.125,1214617.375,1317533.25,1381673,1381456.75,1307645.25,1469064.5,1503705.125,1465419.625,1540310.375,1635931.875
EGY,Egypt,cor_exp,Correlation between expenditure shares of the country and the US (benchmark observations only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.582337235594858,,,,,,,,,,,0.311304676291115,,,,,,,,,0.642233805557403,,,,,,0.588239408451655,0.556439405102437,0.554706663806301,0.556184385725999,0.548276438402313,0.523106472783115,0.504799147860673,,
EGY,Egypt,csh_c,Share of household consumption at current PPPs,0.774838626384735,0.781965970993042,0.717740118503571,0.680076479911804,0.729807674884796,0.720554947853088,0.713352799415588,0.750026524066925,0.719936549663544,0.672664344310761,0.661068856716156,0.676923155784607,0.670845627784729,0.632290899753571,0.65176248550415,0.643818616867065,0.618263721466065,0.620407283306122,0.575965702533722,0.559239327907562,0.564243495464325,0.57343202829361,0.554378807544708,0.546748638153076,0.599029660224915,0.556723833084106,0.551165878772736,0.543916881084442,0.517984449863434,0.552583992481232,0.574179172515869,0.501192092895508,0.502954244613648,0.532839596271515,0.58736127614975,0.620807766914368,0.632292628288269,0.704844117164612,0.803412020206451,0.821312308311462,0.83410519361496,0.805690884590149,0.82002991437912,0.806906998157501,0.818145215511322,0.816304922103882,0.821272134780884,0.815569877624512,0.816321551799774,0.806488275527954,0.795047283172607,0.774689316749573,0.757252156734467,0.7339968085289,0.705264747142792,0.690856873989105,0.7103630900383,0.71613073348999,0.681892693042755,0.736886620521545,0.713567078113556,0.702969253063202,0.761009037494659,0.759437263011932,0.786068439483643,0.773427784442902,0.771994948387146,0.782055616378784,0.767113566398621,0.772291541099548
EGY,Egypt,csh_g,Share of government consumption at current PPPs,0.213542446494102,0.232567712664604,0.245651051402092,0.238301143050194,0.241296365857124,0.278025180101395,0.281206905841827,0.266356706619263,0.256276607513428,0.30145850777626,0.32622018456459,0.32686385512352,0.34673398733139,0.389470815658569,0.353988826274872,0.379500478506088,0.375201791524887,0.420759677886963,0.443361133337021,0.462709903717041,0.448947459459305,0.441224902868271,0.464161932468414,0.477149456739426,0.472460925579071,0.500363945960999,0.539309620857239,0.488659590482712,0.482417702674866,0.457363486289978,0.447860687971115,0.470689207315445,0.449768275022507,0.419162958860397,0.41805237531662,0.412639200687408,0.358639687299728,0.298649430274963,0.269227772951126,0.228668615221977,0.176270261406899,0.143345162272453,0.126620978116989,0.105600729584694,0.0910792499780655,0.0745149776339531,0.0596436560153961,0.0668317675590515,0.0732009708881378,0.077144630253315,0.0833922773599625,0.0899346545338631,0.0984450951218605,0.109307281672955,0.120511740446091,0.132271498441696,0.137789100408554,0.129924759268761,0.123249404132366,0.138626530766487,0.142352968454361,0.153367161750793,0.135821998119354,0.138118639588356,0.14084529876709,0.14475628733635,0.137701630592346,0.114530980587006,0.112274736166,0.115741617977619
EGY,Egypt,csh_i,Share of gross capital formation at current PPPs,0.0222401730716229,0.0242541339248419,0.0292721688747406,0.0339318215847015,0.034399475902319,0.0347854532301426,0.0279286354780197,0.0290580075234175,0.030699310824275,0.034624207764864,0.032404687255621,0.0348729491233826,0.0369255393743515,0.0418196693062782,0.0407282672822475,0.045325193554163,0.0368895418941975,0.0312728993594646,0.0264343526214361,0.0307349767535925,0.0294935088604689,0.0254553370177746,0.0224292669445276,0.0296147968620062,0.0435583330690861,0.047002874314785,0.0717197954654694,0.0656735226511955,0.0680087059736252,0.0838054046034813,0.0959921032190323,0.0885076373815537,0.0980170741677284,0.0800758376717567,0.0686243623495102,0.0657441467046738,0.0651641562581062,0.0663473606109619,0.0778450891375542,0.0816088318824768,0.0760148838162422,0.0726159512996674,0.0711075216531754,0.0793721005320549,0.0894080549478531,0.0899739116430283,0.0952196419239044,0.10381306707859,0.124110072851181,0.126506745815277,0.134863451123238,0.126482546329498,0.133154347538948,0.124960914254189,0.125535696744919,0.132562384009361,0.140636086463928,0.148647531867027,0.149557501077652,0.128566294908524,0.124747186899185,0.103458508849144,0.0945330187678337,0.0817427113652229,0.0725210085511208,0.0776080042123795,0.0810976922512054,0.0773234963417053,0.0848522856831551,0.0948054194450378
